No.,Ticker,②自己資本比率,⑤業界/セクター,⑧当期売上高,成長率(最新),成長率(1期前),成長率(2期前),⑨当期純利益,利益率,配当率,⑬フェアバリュー,⑭判定,⑮自作シグナル,⑯保有,更新日時
1,DHT,N/A,Energy / Oil & Gas Midstream,659443968,-12.83%,2.00%,23.43%,211092000.0,32.01%,15.42%,17.29,割安,-,保有,2026-06-12 02:49:36
2,NAT,N/A,Energy / Oil & Gas Midstream,331988000,-16.60%,-10.71%,15.43%,12271000.0,3.70%,16.99%,3.78,割高,-,保有,2026-06-12 02:49:36
3,TRMD,N/A,Energy / Oil & Gas Midstream,1412400000,-14.09%,2.55%,5.33%,285300000.0,20.20%,9.60%,46.76,超割安,-,保有,2026-06-12 02:49:36
4,XLF,N/A, / ,,-,-,-,,-,1.54%,-,-,-,保有,2026-06-12 02:49:36
5,BYND,N/A,Consumer Defensive / Packaged Foods,264971008,-15.61%,-4.93%,-18.04%,178012000.0,67.18%,0.00%,-,-,-,保有,2026-06-12 02:49:36
6,DKNG,N/A,Consumer Cyclical / Gambling,6291794944,26.99%,30.07%,63.60%,3710000.0,0.06%,0.00%,6.86,割高,-,保有,2026-06-12 02:49:36
7,EPI,N/A, / ,,-,-,-,,-,0.00%,-,-,-,保有,2026-06-12 02:49:36
8,FRO,N/A,Energy / Oil & Gas Midstream,2251480064,-4.16%,13.77%,26.01%,379081000.0,16.84%,8.63%,29.32,適正,-,保有,2026-06-12 02:49:36
9,GLDM,N/A, / ,,-,-,-,,-,0.00%,-,-,-,保有,2026-06-12 02:49:36
10,NIO,N/A,Consumer Cyclical / Auto Manufacturers,100985438208,33.10%,18.18%,12.89%,-15570678000.0,-15.42%,0.00%,0.93,割高,-,保有,2026-06-12 02:49:36
11,QS,N/A,Consumer Cyclical / Auto Parts,-,-,-,-,-435050000.0,-,0.00%,-,-,-,保有,2026-06-12 02:49:36
12,SNDL,N/A,Consumer Defensive / Beverages - Wineries & Distilleries,937393024,2.82%,1.26%,27.63%,-15774000.0,-1.68%,0.00%,1.42,適正,-,保有,2026-06-12 02:49:36
13,SWKS,N/A,Technology / Semiconductors,4044300032,-2.18%,-12.45%,-13.00%,477100000.0,11.80%,4.04%,66.62,適正,-,保有,2026-06-12 02:49:36
14,TSM,N/A,Technology / Semiconductors,4103904165888,31.61%,33.89%,-4.51%,1697604000000.0,41.37%,0.93%,44.45,割高,-,保有,2026-06-12 02:49:36
15,UBER,N/A,Technology / Software - Application,53687001088,18.28%,17.96%,16.95%,10053000000.0,18.73%,0.00%,34.57,割高,-,保有,2026-06-12 02:49:36
16,WIT,N/A,Technology / Information Technology Services,926240014336,3.97%,-0.75%,-0.80%,131974000000.0,14.25%,9.13%,1.79,適正,-,保有,2026-06-12 02:49:36
17,ZG,N/A,Communication Services / Internet Content & Information,2692999936,15.52%,14.96%,-0.66%,23000000.0,0.85%,0.00%,37.31,割安,-,-,2026-06-12 02:49:36
18,VOO,N/A, / ,,-,-,-,,-,1.03%,-,-,-,保有,2026-06-12 02:49:36
19,IVV,N/A, / ,,-,-,-,,-,1.06%,-,-,-,-,2026-06-12 02:49:36
20,VTI,N/A, / ,,-,-,-,,-,1.01%,-,-,-,保有,2026-06-12 02:49:36
21,QQQ,N/A, / ,,-,-,-,,-,0.38%,-,-,-,保有,2026-06-12 02:49:36
22,SPY,N/A, / ,,-,-,-,,-,0.98%,-,-,-,-,2026-06-12 02:49:36
23,DIA,N/A, / ,,-,-,-,,-,1.37%,-,-,-,-,2026-06-12 02:49:36
24,IWM,N/A, / ,,-,-,-,,-,0.87%,-,-,-,-,2026-06-12 02:49:36
25,VIG,N/A, / ,,-,-,-,,-,1.47%,-,-,-,-,2026-06-12 02:49:36
26,VYM,N/A, / ,,-,-,-,,-,2.21%,-,-,-,-,2026-06-12 02:49:36
27,HDV,N/A, / ,,-,-,-,,-,2.91%,-,-,-,保有,2026-06-12 02:49:36
28,SPYD,N/A, / ,,-,-,-,,-,4.18%,-,-,-,保有,2026-06-12 02:49:36
29,XLK,N/A, / ,,-,-,-,,-,0.40%,-,-,-,-,2026-06-12 02:49:36
30,XLV,N/A, / ,,-,-,-,,-,1.68%,-,-,-,-,2026-06-12 02:49:36
31,XLY,N/A, / ,,-,-,-,,-,0.74%,-,-,-,-,2026-06-12 02:49:36
32,XLP,N/A, / ,,-,-,-,,-,2.62%,-,-,-,-,2026-06-12 02:49:36
33,XLI,N/A, / ,,-,-,-,,-,1.18%,-,-,-,-,2026-06-12 02:49:36
34,XLE,N/A, / ,,-,-,-,,-,2.65%,-,-,-,-,2026-06-12 02:49:36
35,XLB,N/A, / ,,-,-,-,,-,1.71%,-,-,-,-,2026-06-12 02:49:36
36,XLRE,N/A, / ,,-,-,-,,-,3.18%,-,-,-,-,2026-06-12 02:49:36
37,XLU,N/A, / ,,-,-,-,,-,2.68%,-,-,-,-,2026-06-12 02:49:36
38,SMH,N/A, / ,,-,-,-,,-,0.18%,-,-,-,-,2026-06-12 02:49:36
39,SOXX,N/A, / ,,-,-,-,,-,0.29%,-,-,-,-,2026-06-12 02:49:36
40,ARKK,N/A, / ,,-,-,-,,-,0.00%,-,-,-,-,2026-06-12 02:49:36
41,VT,N/A, / ,,-,-,-,,-,1.59%,-,-,-,-,2026-06-12 02:49:36
42,VEA,N/A, / ,,-,-,-,,-,2.61%,-,-,-,-,2026-06-12 02:49:36
43,VWO,N/A, / ,,-,-,-,,-,2.43%,-,-,-,-,2026-06-12 02:49:36
44,BND,N/A, / ,,-,-,-,,-,3.94%,-,-,-,-,2026-06-12 02:49:36
45,AGG,N/A, / ,,-,-,-,,-,3.96%,-,-,-,-,2026-06-12 02:49:36
46,LQD,N/A, / ,,-,-,-,,-,4.52%,-,-,-,-,2026-06-12 02:49:36
47,TQQQ,N/A, / ,,-,-,-,,-,0.37%,-,-,-,-,2026-06-12 02:49:36
48,SQQQ,N/A, / ,,-,-,-,,-,12.19%,-,-,-,-,2026-06-12 02:49:36
49,SOXL,N/A, / ,,-,-,-,,-,0.03%,-,-,-,-,2026-06-12 02:49:36
50,SOXS,N/A, / ,,-,-,-,,-,52.81%,-,-,-,-,2026-06-12 02:49:36
51,TECL,N/A, / ,,-,-,-,,-,3.40%,-,-,-,-,2026-06-12 02:49:36
52,WEBL,N/A, / ,,-,-,-,,-,0.18%,-,-,-,-,2026-06-12 02:49:36
53,CURE,N/A, / ,,-,-,-,,-,1.25%,-,-,-,-,2026-06-12 02:49:36
54,FAS,N/A, / ,,-,-,-,,-,10.59%,-,-,-,-,2026-06-12 02:49:36
55,LABU,N/A, / ,,-,-,-,,-,0.63%,-,-,-,-,2026-06-12 02:49:36
56,TMF,N/A, / ,,-,-,-,,-,4.14%,-,-,-,-,2026-06-12 02:49:36
57,TLT,N/A, / ,,-,-,-,,-,4.55%,-,-,-,-,2026-06-12 02:49:36
58,IEF,N/A, / ,,-,-,-,,-,3.87%,-,-,-,-,2026-06-12 02:49:36
59,SHY,N/A, / ,,-,-,-,,-,3.71%,-,-,-,-,2026-06-12 02:49:36
60,TIP,N/A, / ,,-,-,-,,-,2.81%,-,-,-,-,2026-06-12 02:49:36
61,HYG,N/A, / ,,-,-,-,,-,5.84%,-,-,-,-,2026-06-12 02:49:36
62,JNK,N/A, / ,,-,-,-,,-,6.59%,-,-,-,-,2026-06-12 02:49:36
63,EMB,N/A, / ,,-,-,-,,-,5.04%,-,-,-,-,2026-06-12 02:49:36
64,VWOB,N/A, / ,,-,-,-,,-,5.82%,-,-,-,-,2026-06-12 02:49:36
65,GLD,N/A, / ,,-,-,-,,-,0.00%,-,-,-,-,2026-06-12 02:49:36
66,IAU,N/A, / ,,-,-,-,,-,0.00%,-,-,-,-,2026-06-12 02:49:36
67,SLV,N/A, / ,,-,-,-,,-,0.00%,-,-,-,-,2026-06-12 02:49:36
68,DBC,N/A, / ,,-,-,-,,-,2.53%,-,-,-,-,2026-06-12 02:49:36
69,GSG,N/A, / ,,-,-,-,,-,0.00%,-,-,-,-,2026-06-12 02:49:36
70,PAVE,N/A, / ,,-,-,-,,-,0.78%,-,-,-,-,2026-06-12 02:49:36
71,LIT,N/A, / ,,-,-,-,,-,0.36%,-,-,-,-,2026-06-12 02:49:36
72,TAN,N/A, / ,,-,-,-,,-,0.00%,-,-,-,-,2026-06-12 02:49:36
73,FAN,N/A, / ,,-,-,-,,-,0.97%,-,-,-,-,2026-06-12 02:49:36
74,KWEB,N/A, / ,,-,-,-,,-,7.85%,-,-,-,-,2026-06-12 02:49:36
75,SKYY,N/A, / ,,-,-,-,,-,0.00%,-,-,-,-,2026-06-12 02:49:36
76,BOTZ,N/A, / ,,-,-,-,,-,0.59%,-,-,-,-,2026-06-12 02:49:36
77,QQQM,N/A, / ,,-,-,-,,-,0.42%,-,-,-,-,2026-06-12 02:49:36
78,SPLG,N/A, / ,,-,-,-,,-,1.13%,-,-,-,-,2026-06-12 02:49:36
79,SCHD,N/A, / ,,-,-,-,,-,3.25%,-,-,-,-,2026-06-12 02:49:36
80,DGRO,N/A, / ,,-,-,-,,-,1.96%,-,-,-,-,2026-06-12 02:49:36
81,COWZ,N/A, / ,,-,-,-,,-,1.99%,-,-,-,-,2026-06-12 02:49:36
82,MOAT,N/A, / ,,-,-,-,,-,1.35%,-,-,-,-,2026-06-12 02:49:36
83,NOBL,N/A, / ,,-,-,-,,-,2.12%,-,-,-,-,2026-06-12 02:49:36
84,RDVY,N/A, / ,,-,-,-,,-,0.93%,-,-,-,-,2026-06-12 02:49:36
85,QUAL,N/A, / ,,-,-,-,,-,0.88%,-,-,-,-,2026-06-12 02:49:36
86,MTUM,N/A, / ,,-,-,-,,-,0.62%,-,-,-,-,2026-06-12 02:49:36
87,VLUE,N/A, / ,,-,-,-,,-,1.43%,-,-,-,-,2026-06-12 02:49:36
88,USMV,N/A, / ,,-,-,-,,-,1.52%,-,-,-,-,2026-06-12 02:49:36
89,MGK,N/A, / ,,-,-,-,,-,0.31%,-,-,-,-,2026-06-12 02:49:36
